Period NodeTypeO NodeTypeD # %
0 0 0 343 0.00114333
0 0 1 373 0.00124333
0 0 2 343 0.00114333
0 1 0 320 0.00106667
0 1 1 324 0.00108
0 1 2 342 0.00114
0 2 0 344 0.00114667
0 2 1 303 0.00101
0 2 2 326 0.00108667
1 0 0 1667 0.00555667
1 0 1 1698 0.00566
1 0 2 7892 0.0263067
1 1 0 7935 0.02645
1 1 1 7848 0.02616
1 1 2 66417 0.22139
1 2 0 1661 0.00553667
1 2 1 1754 0.00584667
1 2 2 7716 0.02572
2 0 0 6738 0.02246
2 0 1 6685 0.0222833
2 0 2 6629 0.0220967
2 1 0 6556 0.0218533
2 1 1 6780 0.0226
2 1 2 6641 0.0221367
2 2 0 6785 0.0226167
2 2 1 6647 0.0221567
2 2 2 6605 0.0220167
3 0 0 1719 0.00573
3 0 1 7898 0.0263267
3 0 2 1703 0.00567667
3 1 0 1664 0.00554667
3 1 1 7861 0.0262033
3 1 2 1708 0.00569333
3 2 0 8079 0.02693
3 2 1 66443 0.221477
3 2 2 7960 0.0265333
4 0 0 3025 0.0100833
4 0 1 3060 0.0102
4 0 2 3045 0.01015
4 1 0 3022 0.0100733
4 1 1 3005 0.0100167
4 1 2 3000 0.01
4 2 0 3044 0.0101467
4 2 1 3046 0.0101533
4 2 2 3046 0.0101533
