Period NodeTypeO NodeTypeD # %
0 0 0 323 0.00107667
0 0 1 344 0.00114667
0 0 2 353 0.00117667
0 1 0 349 0.00116333
0 1 1 360 0.0012
0 1 2 345 0.00115
0 2 0 329 0.00109667
0 2 1 310 0.00103333
0 2 2 331 0.00110333
1 0 0 1719 0.00573
1 0 1 1686 0.00562
1 0 2 8029 0.0267633
1 1 0 7996 0.0266533
1 1 1 7917 0.02639
1 1 2 66262 0.220873
1 2 0 1694 0.00564667
1 2 1 1717 0.00572333
1 2 2 7857 0.02619
2 0 0 6888 0.02296
2 0 1 6606 0.02202
2 0 2 6883 0.0229433
2 1 0 6659 0.0221967
2 1 1 6657 0.02219
2 1 2 6720 0.0224
2 2 0 6765 0.02255
2 2 1 6698 0.0223267
2 2 2 6659 0.0221967
3 0 0 1558 0.00519333
3 0 1 7758 0.02586
3 0 2 1634 0.00544667
3 1 0 1715 0.00571667
3 1 1 8056 0.0268533
3 1 2 1630 0.00543333
3 2 0 7994 0.0266467
3 2 1 66077 0.220257
3 2 2 7841 0.0261367
4 0 0 2978 0.00992667
4 0 1 2989 0.00996333
4 0 2 3020 0.0100667
4 1 0 3030 0.0101
4 1 1 3075 0.01025
4 1 2 2977 0.00992333
4 2 0 3012 0.01004
4 2 1 3108 0.01036
4 2 2 3092 0.0103067
