Period NodeTypeO NodeTypeD # %
0 0 0 341 0.00113667
0 0 1 331 0.00110333
0 0 2 334 0.00111333
0 1 0 344 0.00114667
0 1 1 330 0.0011
0 1 2 343 0.00114333
0 2 0 349 0.00116333
0 2 1 338 0.00112667
0 2 2 328 0.00109333
1 0 0 1733 0.00577667
1 0 1 1714 0.00571333
1 0 2 7809 0.02603
1 1 0 7819 0.0260633
1 1 1 7839 0.02613
1 1 2 66592 0.221973
1 2 0 1716 0.00572
1 2 1 1694 0.00564667
1 2 2 7885 0.0262833
2 0 0 6815 0.0227167
2 0 1 6756 0.02252
2 0 2 6687 0.02229
2 1 0 6671 0.0222367
2 1 1 6750 0.0225
2 1 2 6707 0.0223567
2 2 0 6638 0.0221267
2 2 1 6572 0.0219067
2 2 2 6633 0.02211
3 0 0 1658 0.00552667
3 0 1 7799 0.0259967
3 0 2 1659 0.00553
3 1 0 1680 0.0056
3 1 1 7871 0.0262367
3 1 2 1714 0.00571333
3 2 0 7893 0.02631
3 2 1 66542 0.221807
3 2 2 7803 0.02601
4 0 0 3107 0.0103567
4 0 1 2992 0.00997333
4 0 2 3055 0.0101833
4 1 0 2947 0.00982333
4 1 1 3018 0.01006
4 1 2 2993 0.00997667
4 2 0 3036 0.01012
4 2 1 3114 0.01038
4 2 2 3051 0.01017
