Period NodeTypeO NodeTypeD # %
0 0 0 335 0.00111667
0 0 1 362 0.00120667
0 0 2 333 0.00111
0 1 0 324 0.00108
0 1 1 337 0.00112333
0 1 2 313 0.00104333
0 2 0 317 0.00105667
0 2 1 347 0.00115667
0 2 2 317 0.00105667
1 0 0 1627 0.00542333
1 0 1 1727 0.00575667
1 0 2 7759 0.0258633
1 1 0 7911 0.02637
1 1 1 8029 0.0267633
1 1 2 66434 0.221447
1 2 0 1670 0.00556667
1 2 1 1606 0.00535333
1 2 2 7874 0.0262467
2 0 0 6694 0.0223133
2 0 1 6764 0.0225467
2 0 2 6756 0.02252
2 1 0 6756 0.02252
2 1 1 6772 0.0225733
2 1 2 6728 0.0224267
2 2 0 6666 0.02222
2 2 1 6623 0.0220767
2 2 2 6866 0.0228867
3 0 0 1743 0.00581
3 0 1 8002 0.0266733
3 0 2 1643 0.00547667
3 1 0 1672 0.00557333
3 1 1 7699 0.0256633
3 1 2 1707 0.00569
3 2 0 7845 0.02615
3 2 1 66366 0.22122
3 2 2 7887 0.02629
4 0 0 3053 0.0101767
4 0 1 3020 0.0100667
4 0 2 3017 0.0100567
4 1 0 2970 0.0099
4 1 1 3057 0.01019
4 1 2 3005 0.0100167
4 2 0 3083 0.0102767
4 2 1 2998 0.00999333
4 2 2 2986 0.00995333
