Period NodeTypeO NodeTypeD # %
0 0 0 357 0.00119
0 0 1 379 0.00126333
0 0 2 320 0.00106667
0 1 0 322 0.00107333
0 1 1 332 0.00110667
0 1 2 360 0.0012
0 2 0 316 0.00105333
0 2 1 315 0.00105
0 2 2 315 0.00105
1 0 0 1612 0.00537333
1 0 1 1768 0.00589333
1 0 2 7838 0.0261267
1 1 0 7919 0.0263967
1 1 1 8108 0.0270267
1 1 2 66541 0.221803
1 2 0 1701 0.00567
1 2 1 1771 0.00590333
1 2 2 7899 0.02633
2 0 0 6688 0.0222933
2 0 1 6522 0.02174
2 0 2 6788 0.0226267
2 1 0 6641 0.0221367
2 1 1 6680 0.0222667
2 1 2 6664 0.0222133
2 2 0 6616 0.0220533
2 2 1 6676 0.0222533
2 2 2 6664 0.0222133
3 0 0 1641 0.00547
3 0 1 7935 0.02645
3 0 2 1701 0.00567
3 1 0 1717 0.00572333
3 1 1 7972 0.0265733
3 1 2 1680 0.0056
3 2 0 7833 0.02611
3 2 1 66557 0.221857
3 2 2 7901 0.0263367
4 0 0 3071 0.0102367
4 0 1 2992 0.00997333
4 0 2 3069 0.01023
4 1 0 2982 0.00994
4 1 1 2901 0.00967
4 1 2 3048 0.01016
4 2 0 3058 0.0101933
4 2 1 2931 0.00977
4 2 2 2899 0.00966333
