Period NodeTypeO NodeTypeD # %
0 0 0 91 0.00091
0 0 1 105 0.00105
0 0 2 117 0.00117
0 1 0 108 0.00108
0 1 1 105 0.00105
0 1 2 112 0.00112
0 2 0 114 0.00114
0 2 1 103 0.00103
0 2 2 103 0.00103
1 0 0 557 0.00557
1 0 1 538 0.00538
1 0 2 2714 0.02714
1 1 0 2656 0.02656
1 1 1 2635 0.02635
1 1 2 22236 0.22236
1 2 0 568 0.00568
1 2 1 587 0.00587
1 2 2 2631 0.02631
2 0 0 2242 0.02242
2 0 1 2118 0.02118
2 0 2 2191 0.02191
2 1 0 2224 0.02224
2 1 1 2187 0.02187
2 1 2 2152 0.02152
2 2 0 2265 0.02265
2 2 1 2190 0.0219
2 2 2 2229 0.02229
3 0 0 553 0.00553
3 0 1 2623 0.02623
3 0 2 610 0.0061
3 1 0 602 0.00602
3 1 1 2608 0.02608
3 1 2 588 0.00588
3 2 0 2653 0.02653
3 2 1 22225 0.22225
3 2 2 2662 0.02662
4 0 0 990 0.0099
4 0 1 940 0.0094
4 0 2 993 0.00993
4 1 0 989 0.00989
4 1 1 1032 0.01032
4 1 2 994 0.00994
4 2 0 1009 0.01009
4 2 1 1062 0.01062
4 2 2 989 0.00989
