Period NodeTypeO NodeTypeD # %
0 0 0 106 0.00106
0 0 1 130 0.0013
0 0 2 112 0.00112
0 1 0 130 0.0013
0 1 1 122 0.00122
0 1 2 103 0.00103
0 2 0 116 0.00116
0 2 1 112 0.00112
0 2 2 95 0.00095
1 0 0 542 0.00542
1 0 1 602 0.00602
1 0 2 2677 0.02677
1 1 0 2711 0.02711
1 1 1 2667 0.02667
1 1 2 22131 0.22131
1 2 0 613 0.00613
1 2 1 520 0.0052
1 2 2 2630 0.0263
2 0 0 2190 0.0219
2 0 1 2246 0.02246
2 0 2 2208 0.02208
2 1 0 2270 0.0227
2 1 1 2216 0.02216
2 1 2 2194 0.02194
2 2 0 2195 0.02195
2 2 1 2178 0.02178
2 2 2 2160 0.0216
3 0 0 548 0.00548
3 0 1 2541 0.02541
3 0 2 598 0.00598
3 1 0 568 0.00568
3 1 1 2686 0.02686
3 1 2 576 0.00576
3 2 0 2640 0.0264
3 2 1 22073 0.22073
3 2 2 2628 0.02628
4 0 0 1030 0.0103
4 0 1 1076 0.01076
4 0 2 1027 0.01027
4 1 0 1042 0.01042
4 1 1 967 0.00967
4 1 2 1015 0.01015
4 2 0 1035 0.01035
4 2 1 986 0.00986
4 2 2 988 0.00988
