t_departure t_arrival
4039429 4090411
1184841 1243037
5595724 5679562
4597138 4637572
4536031 4572369
6814161 6941594
7131037 7174102
5632634 5683188
2282731 2342635
3851619 3881826
6700929 6743911
2601284 2640873
6166812 6199582
3444155 3487390
6541336 6586501
4450174 4517517
5282021 5329708
2613473 2678308
6775008 6839850
2280230 2331436
3148571 3189064
6411289 6451695
2391931 2430139
3357611 3430975
5732097 5805216
4816445 4870873
3594199 3655846
2194998 2246299
2779996 2807419
3296190 3391297
5319178 5349352
2354473 2410938
6286023 6344045
7715742 7767750
5054810 5167852
6262746 6332101
4421218 4493577
2002049 2075968
4187527 4248174
8096184 8129328
350636 381379
6595250 6677050
4404730 4518704
3095690 3144353
5665417 5692962
2617831 2663713
5813506 5854920
2578218 2666210
5571825 5647138
3031838 3111566
3047255 3136076
3136329 3211344
6293265 6363866
6197214 6236527
2811846 2854182
7221379 7255544
4668951 4727539
2191616 2253986
6503655 6564754
2508959 2571278
4977994 5016693
6734224 6789817
831204 883006
8156838 8225039
4804830 4863086
2815609 2878666
5113227 5145219
3194070 3247885
5818059 5871127
5992988 6031274
3302777 3340213
2354270 2385722
6079677 6111770
4599370 4671814
6471031 6557917
4805612 4860528
3950927 3995816
2310522 2346916
6059505 6099281
2312065 2352937
2932981 3022965
2294503 2380068
2947545 3011598
2966401 3010968
5963810 6008769
4879999 4992630
6858446 6911126
3159932 3214325
4820249 4868612
5965868 6022285
2867440 2928340
6796806 6861300
6034893 6073334
4749141 4812953
2477170 2554918
6893393 6970444
3671844 3718272
2543420 2603091
6341216 6402625
5839891 5885259
4723604 4762280
4738489 4785510
4844586 4893780
2476617 2541864
5546336 5613525
5850083 5903544
6840094 6873143
2546168 2635744
6582362 6671553
2989190 3053541
3388949 3464818
6657854 6734013
2814398 2850505
6141324 6191816
2507571 2541601
3159875 3215146
6839188 6878962
2288808 2326950
4990735 5037949
5625911 5680122
2496133 2550218
6279024 6323998
4205787 4284886
8423604 8478065
2520274 2555022
2457254 2520583
6310665 6372850
4906227 4956234
2711429 2778617
6538556 6570103
2589322 2674257
6781243 6831358
4653625 4695308
6019985 6079999
3444824 3507462
3181221 3247964
6496006 6567663
3019046 3102600
5511289 5592271
6349441 6403324
6673523 6721187
5376640 5424826
6488227 6545007
5202435 5266745
5693895 5745787
1486398 1564994
7796043 7818720
6282393 6388011
7350596 7468888
5616095 5653052
2965115 3039244
5572910 5652317
4336723 4370115
5866336 5917095
2259154 2319955
5704543 5748979
2783571 2847666
5574062 5641088
7334493 7375723
3246194 3320383
5830472 5861236
2880650 2911373
4250922 4297424
3265273 3320988
6099328 6161123
859649 897773
5757732 5842161
2960165 3043412
6286021 6324815
3680431 3728136
2621068 2710361
6046661 6135616
7260948 7342057
2792064 2848343
5560089 5626027
2551940 2617544
2447327 2503662
5551334 5602514
6055663 6109687
2893933 2975008
6803875 6914615
2718920 2748807
5118017 5168076
4271120 4335187
5754257 5798823
4691532 4754127
4460586 4507937
5673918 5712868
2981973 3019517
3095472 3123972
3254279 3309635
5440420 5494220
5964226 5995371
2443828 2513009
7362166 7435442
7255053 7292363
5782495 5833718
3188336 3259847
3938425 4051648
5249395 5318699
2809320 2862295
6883283 6933875
5822900 5887294
4455778 4510031
2529839 2602773
4222445 4276789
850713 956720
4754592 4866072
3288389 3326195
6273674 6310064
3792330 3850513
3175893 3263779
6837061 6925329
3108101 3175999
5863492 5936587
2407431 2480277
6656240 6682075
2186140 2242688
6402235 6462609
6121126 6190508
6028166 6089201
5097845 5130500
5441134 5473694
2207131 2255616
5080291 5134270
2213060 2291208
5697358 5775823
5193519 5305064
6638903 6672737
6828624 6869764
2917547 2959046
8346388 8398891
6428697 6463862
2830623 2919605
6122158 6209934
5250965 5373296
2656395 2697269
5491185 5531866
5846635 5889955
6704746 6761438
3304008 3339014
5748357 5783363
3327207 3367414
7188602 7228770
4798296 4839375
7888971 7925304
6189432 6283566
3116956 3163037
5529187 5570367
6172987 6235021
2565905 2631320
5355187 5413652
7626340 7700545
4162701 4262456
2548344 2625262
3032812 3112347
5720664 5764812
3417441 3490369
3348622 3448396
6000812 6099653
2433091 2479145
2421201 2532279
8457908 8498255
2500063 2535625
7284602 7319379
6281817 6350166
2712717 2781520
5394124 5427993
4426562 4492954
5126735 5176857
4859477 4934060
3828078 3896628
5727949 5776705
2488454 2535982
6811389 6897758
2952366 3002401
6822759 6877214
1900095 1974817
3818182 3868624
2792093 2835867
2291949 2325841
6103404 6181832
3394526 3476277
5670381 5737461
2570429 2628627
6748498 6827340
3248724 3327833
2535997 2609114
4911346 5032799
2188107 2245941
6790806 6849295
6330453 6364994
5907542 6000423
5431704 5488267
2813388 2869811
2509882 2554914
3075613 3150961
4808295 4901035
6851542 6883290
2912576 2942750
4742818 4789389
5564586 5626037
2869858 2932232
6166231 6213282
7314298 7357797
2989509 3057510
2695390 2751193
4562344 4629271
8342241 8424467
3415166 3484658
7717121 7763376
5455090 5492310
3332993 3421474
6753342 6841381
6437008 6517213
6896988 6967977
3118617 3185428
6275754 6335433
3188101 3248805
5417254 5459168
2214409 2253503
5966669 6013409
2411187 2454153
7950175 7998292
6735650 6768212
2806833 2838724
3418877 3485047
6231942 6280526
6628727 6700750
6012568 6058381
6307362 6375943
2682029 2743480
2191401 2258707
4948669 4987578
6477362 6515562
2525810 2559037
6213792 6249818
3418835 3448939
1291262 1335754
6471070 6567985
2710301 2801055
6249890 6298111
3743940 3818776
5917797 5985625
7174001 7272130
2264022 2345942
6532936 6615955
5496581 5560349
8047479 8087378
5840308 5897296
3343116 3397980
6792493 6849124
5030447 5094660
5158346 5250849
2720131 2753949
6225793 6256971
4969370 5083934
4829453 4922715
2629427 2699839
2637197 2743168
6520089 6605327
5224374 5287497
3210841 3299277
6328267 6414694
3762711 3842983
3826088 3893811
5140220 5223059
3863219 3935723
5970098 6050410
5373978 5418615
5208253 5326668
4322821 4407202
7125367 7187263
6768539 6880864
2508745 2543503
6753258 6786915
2193483 2256321
3256752 3288204
6677088 6710191
7469619 7552569
3191662 3229428
6540837 6578210
2732376 2807483
6742708 6817048
3189007 3256237
5665289 5735150
4179168 4224708
6133118 6173951
4727287 4776280
38677 71730
5913595 6003340
5699230 5732002
3407776 3467486
6164433 6222852
2765652 2808886
5714492 5751999
3029227 3069080
5901619 5940657
3254469 3348972
7401367 7466950
3697670 3789683
1346267 1412196
