Period NodeTypeO NodeTypeD # %
0 0 0 106 0.00106
0 0 1 104 0.00104
0 0 2 119 0.00119
0 1 0 100 0.001
0 1 1 109 0.00109
0 1 2 101 0.00101
0 2 0 113 0.00113
0 2 1 124 0.00124
0 2 2 128 0.00128
1 0 0 570 0.0057
1 0 1 565 0.00565
1 0 2 2626 0.02626
1 1 0 2630 0.0263
1 1 1 2541 0.02541
1 1 2 22192 0.22192
1 2 0 544 0.00544
1 2 1 570 0.0057
1 2 2 2731 0.02731
2 0 0 2188 0.02188
2 0 1 2191 0.02191
2 0 2 2180 0.0218
2 1 0 2317 0.02317
2 1 1 2311 0.02311
2 1 2 2250 0.0225
2 2 0 2341 0.02341
2 2 1 2237 0.02237
2 2 2 2157 0.02157
3 0 0 543 0.00543
3 0 1 2632 0.02632
3 0 2 541 0.00541
3 1 0 530 0.0053
3 1 1 2672 0.02672
3 1 2 575 0.00575
3 2 0 2636 0.02636
3 2 1 22135 0.22135
3 2 2 2638 0.02638
4 0 0 1033 0.01033
4 0 1 1008 0.01008
4 0 2 1056 0.01056
4 1 0 987 0.00987
4 1 1 999 0.00999
4 1 2 962 0.00962
4 2 0 981 0.00981
4 2 1 983 0.00983
4 2 2 944 0.00944
