Period NodeTypeO NodeTypeD # %
0 0 0 123 0.00123
0 0 1 113 0.00113
0 0 2 130 0.0013
0 1 0 130 0.0013
0 1 1 115 0.00115
0 1 2 134 0.00134
0 2 0 118 0.00118
0 2 1 119 0.00119
0 2 2 116 0.00116
1 0 0 556 0.00556
1 0 1 580 0.0058
1 0 2 2683 0.02683
1 1 0 2597 0.02597
1 1 1 2563 0.02563
1 1 2 22175 0.22175
1 2 0 543 0.00543
1 2 1 571 0.00571
1 2 2 2726 0.02726
2 0 0 2182 0.02182
2 0 1 2174 0.02174
2 0 2 2194 0.02194
2 1 0 2247 0.02247
2 1 1 2182 0.02182
2 1 2 2235 0.02235
2 2 0 2199 0.02199
2 2 1 2312 0.02312
2 2 2 2295 0.02295
3 0 0 589 0.00589
3 0 1 2612 0.02612
3 0 2 548 0.00548
3 1 0 567 0.00567
3 1 1 2574 0.02574
3 1 2 620 0.0062
3 2 0 2600 0.026
3 2 1 22178 0.22178
3 2 2 2614 0.02614
4 0 0 967 0.00967
4 0 1 952 0.00952
4 0 2 971 0.00971
4 1 0 1035 0.01035
4 1 1 1010 0.0101
4 1 2 1018 0.01018
4 2 0 1017 0.01017
4 2 1 991 0.00991
4 2 2 1025 0.01025
