Period NodeTypeO NodeTypeD # %
0 0 0 114 0.00114
0 0 1 115 0.00115
0 0 2 110 0.0011
0 1 0 127 0.00127
0 1 1 133 0.00133
0 1 2 100 0.001
0 2 0 93 0.00093
0 2 1 116 0.00116
0 2 2 100 0.001
1 0 0 556 0.00556
1 0 1 566 0.00566
1 0 2 2711 0.02711
1 1 0 2588 0.02588
1 1 1 2657 0.02657
1 1 2 22183 0.22183
1 2 0 562 0.00562
1 2 1 575 0.00575
1 2 2 2617 0.02617
2 0 0 2249 0.02249
2 0 1 2327 0.02327
2 0 2 2281 0.02281
2 1 0 2252 0.02252
2 1 1 2212 0.02212
2 1 2 2252 0.02252
2 2 0 2231 0.02231
2 2 1 2216 0.02216
2 2 2 2245 0.02245
3 0 0 551 0.00551
3 0 1 2585 0.02585
3 0 2 559 0.00559
3 1 0 565 0.00565
3 1 1 2613 0.02613
3 1 2 596 0.00596
3 2 0 2654 0.02654
3 2 1 22252 0.22252
3 2 2 2563 0.02563
4 0 0 973 0.00973
4 0 1 963 0.00963
4 0 2 1000 0.01
4 1 0 1003 0.01003
4 1 1 986 0.00986
4 1 2 958 0.00958
4 2 0 1018 0.01018
4 2 1 960 0.0096
4 2 2 913 0.00913
