Period NodeTypeO NodeTypeD # %
0 0 0 10 0.001
0 0 1 14 0.0014
0 0 2 10 0.001
0 1 0 16 0.0016
0 1 1 11 0.0011
0 1 2 12 0.0012
0 2 0 12 0.0012
0 2 1 11 0.0011
0 2 2 9 0.0009
1 0 0 49 0.0049
1 0 1 72 0.0072
1 0 2 245 0.0245
1 1 0 272 0.0272
1 1 1 268 0.0268
1 1 2 2241 0.2241
1 2 0 61 0.0061
1 2 1 64 0.0064
1 2 2 261 0.0261
2 0 0 222 0.0222
2 0 1 235 0.0235
2 0 2 225 0.0225
2 1 0 212 0.0212
2 1 1 204 0.0204
2 1 2 202 0.0202
2 2 0 208 0.0208
2 2 1 223 0.0223
2 2 2 213 0.0213
3 0 0 68 0.0068
3 0 1 282 0.0282
3 0 2 47 0.0047
3 1 0 68 0.0068
3 1 1 259 0.0259
3 1 2 50 0.005
3 2 0 267 0.0267
3 2 1 2241 0.2241
3 2 2 237 0.0237
4 0 0 83 0.0083
4 0 1 94 0.0094
4 0 2 105 0.0105
4 1 0 95 0.0095
4 1 1 108 0.0108
4 1 2 110 0.011
4 2 0 105 0.0105
4 2 1 102 0.0102
4 2 2 97 0.0097
