Period NodeTypeO NodeTypeD # %
0 0 0 12 0.0012
0 0 1 12 0.0012
0 0 2 11 0.0011
0 1 0 7 0.0007
0 1 1 8 0.0008
0 1 2 18 0.0018
0 2 0 13 0.0013
0 2 1 8 0.0008
0 2 2 6 0.0006
1 0 0 69 0.0069
1 0 1 62 0.0062
1 0 2 253 0.0253
1 1 0 253 0.0253
1 1 1 266 0.0266
1 1 2 2211 0.2211
1 2 0 55 0.0055
1 2 1 59 0.0059
1 2 2 270 0.027
2 0 0 223 0.0223
2 0 1 218 0.0218
2 0 2 202 0.0202
2 1 0 208 0.0208
2 1 1 238 0.0238
2 1 2 246 0.0246
2 2 0 228 0.0228
2 2 1 219 0.0219
2 2 2 260 0.026
3 0 0 55 0.0055
3 0 1 255 0.0255
3 0 2 54 0.0054
3 1 0 49 0.0049
3 1 1 275 0.0275
3 1 2 55 0.0055
3 2 0 258 0.0258
3 2 1 2222 0.2222
3 2 2 251 0.0251
4 0 0 92 0.0092
4 0 1 96 0.0096
4 0 2 116 0.0116
4 1 0 107 0.0107
4 1 1 100 0.01
4 1 2 83 0.0083
4 2 0 116 0.0116
4 2 1 76 0.0076
4 2 2 105 0.0105
