t_departure t_arrival
5420137 5473245
3040801 3084228
3266746 3301067
6120472 6158198
4794761 4844062
2385073 2421659
877656 920558
4296268 4330044
5861582 5895066
3274173 3309572
3421228 3496866
5791419 5891185
2222337 2285620
2455315 2503481
2332832 2386081
6649860 6703120
6547141 6579446
2574600 2626540
6130898 6183726
2653946 2719567
5823861 5888685
6888505 6927558
2397831 2443741
5923336 5955027
2224506 2258488
4270627 4316384
5445163 5504885
2503081 2540724
5421814 5454060
4839047 4869654
4812359 4884894
5768718 5848851
1937551 1969589
3350827 3445516
5407802 5458177
3223181 3260176
6112269 6149473
6688576 6764742
3432676 3488521
3269832 3345408
3347801 3378454
6470508 6507176
5903136 5963652
2925588 2985627
5265590 5321717
2976321 3028991
6594075 6647861
6392259 6440976
2648798 2702280
6312487 6346289
4386607 4448760
5066558 5117833
5845747 5914308
2297475 2359693
3765400 3828071
6857209 6899676
2410166 2482038
6573254 6643461
2392150 2459726
7674379 7700656
3964340 4038159
4678609 4778061
3572286 3657855
3878155 3930000
5925844 5959312
3277888 3310899
3338050 3411119
4407603 4501022
6146035 6208450
5249033 5351454
7578355 7631942
5693757 5741529
6517774 6558872
6666047 6735938
3612611 3648614
6436924 6504870
2238239 2304248
3996282 4060870
6332235 6406195
5605277 5669112
5793465 5868759
2594158 2670376
2455045 2502801
7450642 7520587
6389642 6428432
2477430 2570330
6770423 6866493
3914087 3983543
6714765 6747346
5497080 5535349
2450857 2511767
5703536 5781596
6604068 6654660
2520693 2554979
5639533 5673342
4143458 4199618
6153023 6205333
3267740 3317951
2546978 2637143
4085722 4134962
3451014 3502127
6174237 6225767
4493466 4577891
6712243 6792435
3365479 3448994
6253177 6303781
2950415 3004056
6576888 6613097
2772788 2835309
6388393 6456711
3037818 3107179
2734592 2777833
6905250 6946702
5509348 5596054
4340432 4375306
5911169 5953757
2850130 2893668
7855388 7889126
6830729 6884396
3083693 3139396
2951206 3023031
5205725 5278602
2260761 2335078
5250168 5281663
8379454 8436172
6388027 6477026
2676134 2714663
6244936 6318537
2590487 2704306
7861535 7899132
5128940 5172742
5433141 5479509
2549947 2593838
5599915 5636975
2720087 2759288
5995603 6051235
5847146 5891512
2879862 2920740
4755707 4796289
3266321 3361804
5434014 5471770
2856664 2895132
3162837 3215937
6569176 6628114
3320020 3426623
8014002 8113221
3824130 3916839
1410101 1432570
4262627 4348236
6687353 6740878
2598805 2676283
6687797 6761945
5395612 5474307
4523713 4554319
2706413 2756452
5922033 6003759
2742077 2822901
2492659 2520167
6390697 6449157
3831422 3899633
4742555 4811095
4201259 4238103
6453793 6498376
6583461 6649482
4794019 4833818
6029617 6090288
5220813 5291384
5282342 5333598
2299983 2348320
5935640 6006583
3027249 3093355
3291513 3342603
6660676 6710530
5526466 5586102
2283680 2386416
7550410 7598012
8255722 8335965
7861836 7943594
6411446 6444070
2462316 2495136
3644010 3696767
8395824 8481955
5026606 5115202
2921712 2965203
6083665 6121688
3142030 3180152
6649866 6703174
4930759 4968759
6015224 6059307
2616922 2668641
2867708 2945253
5761847 5839079
4528356 4559613
3335171 3415990
2165277 2243373
4002535 4037377
6162306 6236152
2592926 2657887
6663192 6701577
2955803 2993530
6194125 6235567
4170020 4202641
6324584 6356468
5371320 5473046
4959462 5001073
3953211 4015993
7258497 7367816
5277433 5329909
7993189 8040159
6624115 6675199
6684360 6744840
3810759 3882202
8549346 8596454
6664210 6710877
6733854 6779458
2720412 2765111
6367931 6422390
5054981 5120102
6620621 6705260
