Period NodeTypeO NodeTypeD # %
0 0 0 8 0.0008
0 0 1 12 0.0012
0 0 2 27 0.0027
0 1 0 9 0.0009
0 1 1 9 0.0009
0 1 2 12 0.0012
0 2 0 12 0.0012
0 2 1 12 0.0012
0 2 2 18 0.0018
1 0 0 54 0.0054
1 0 1 48 0.0048
1 0 2 281 0.0281
1 1 0 279 0.0279
1 1 1 236 0.0236
1 1 2 2207 0.2207
1 2 0 41 0.0041
1 2 1 59 0.0059
1 2 2 264 0.0264
2 0 0 221 0.0221
2 0 1 232 0.0232
2 0 2 249 0.0249
2 1 0 210 0.021
2 1 1 245 0.0245
2 1 2 217 0.0217
2 2 0 204 0.0204
2 2 1 230 0.023
2 2 2 249 0.0249
3 0 0 63 0.0063
3 0 1 276 0.0276
3 0 2 61 0.0061
3 1 0 61 0.0061
3 1 1 246 0.0246
3 1 2 68 0.0068
3 2 0 235 0.0235
3 2 1 2206 0.2206
3 2 2 240 0.024
4 0 0 108 0.0108
4 0 1 98 0.0098
4 0 2 99 0.0099
4 1 0 86 0.0086
4 1 1 98 0.0098
4 1 2 104 0.0104
4 2 0 107 0.0107
4 2 1 100 0.01
4 2 2 99 0.0099
