t_departure t_arrival
2943450 3001903
2197542 2263487
6595994 6664936
6576116 6648921
6692561 6758222
3042856 3109038
6873500 6944518
4756270 4819029
4680358 4723441
2689417 2740165
6322010 6372719
6266099 6311087
2413665 2474972
6715850 6775918
3864366 3972622
4955801 4989521
3253977 3286135
6715259 6749635
5627921 5679011
2857401 2913004
2552521 2598506
6070510 6116030
3019832 3069641
3364318 3397346
4406378 4449914
6017085 6076935
2720224 2780779
6185229 6233396
4677534 4792403
3069975 3110564
6673320 6711470
5265557 5294047
4008540 4047509
6340382 6386598
2252711 2299412
3310455 3367971
5578436 5633220
2236621 2278958
5781685 5821936
5628442 5663023
2457848 2525559
4692359 4728213
6887323 6929269
3225758 3255886
6144519 6177469
3171764 3207143
2963553 3038431
6725882 6803765
5495790 5571603
3868224 3912212
5048997 5122513
3014810 3067888
5512614 5561678
5545734 5589853
3931527 3965849
3277984 3405403
6753655 6830924
3114312 3170467
5913978 5982017
4138212 4220585
4403353 4443358
3464182 3524541
2736067 2806253
4747463 4831232
6315875 6388080
2806762 2865295
2170724 2248854
2187624 2230107
2512302 2546390
2244110 2289761
5243249 5304713
4001388 4066554
2816209 2867776
5784146 5839972
7891184 7986137
5481848 5526045
2265491 2303889
6055045 6149873
2344613 2433072
3046425 3104009
3773531 3807354
5200626 5291317
3122832 3187331
6101860 6160178
2932699 2967301
6615387 6650546
5933124 6018374
2936687 3026293
6134943 6210134
2759704 2835250
5380492 5465433
5476009 5566981
4695753 4766991
3240997 3282153
7019452 7090051
3051705 3120468
2923340 2984013
5364571 5416937
2418527 2504576
2878280 2900569
5402515 5433658
2729533 2779325
4940701 4979480
6821758 6881066
2445446 2495166
5436099 5488492
6119847 6172156
2784241 2818618
5774417 5807274
4360772 4453029
2699612 2739289
8199603 8259590
3378570 3415956
3996568 4063509
2800237 2860006
5679952 5714836
5771458 5854791
8192339 8266830
6881919 6930875
6861666 6901575
1492276 1522015
3061237 3125320
3011300 3048690
422859 481822
5440872 5539155
4427835 4459828
4007119 4045987
3474649 3533361
6692218 6735283
2875726 2921035
7141305 7207273
2401578 2469779
3256850 3343716
2396258 2458705
6828042 6888901
3452373 3486719
6542801 6578176
3256923 3334282
5661133 5742052
3005729 3085830
2581602 2670763
4589573 4653969
6348291 6471959
6248410 6290053
2661462 2702648
4297020 4357161
6279585 6335525
2512282 2573609
5475130 5540152
5279792 5317212
4938645 4975631
4794933 4861480
3320856 3371110
4236030 4303118
6493208 6537920
3165381 3210584
4040759 4105485
5204490 5237005
4884119 4916741
2465364 2511950
3230132 3278350
8341518 8443137
8036403 8076845
2280722 2310336
2555550 2624348
6410631 6523435
4736553 4837953
7356454 7431751
6885721 6965915
3676654 3712927
4185187 4303222
5926034 6029979
5564470 5634604
2175626 2243335
1018333 1090753
5598985 5653844
6636137 6676914
2822615 2870476
6043733 6088720
2809681 2859074
5773780 5824581
3947745 4011292
3085683 3138686
4126784 4175216
6789434 6826755
2228734 2273819
5743104 5800510
4142164 4213134
7316525 7388033
5719368 5764227
2319967 2389765
