Period NodeTypeO NodeTypeD # %
0 0 0 12 0.0012
0 0 1 19 0.0019
0 0 2 8 0.0008
0 1 0 13 0.0013
0 1 1 16 0.0016
0 1 2 10 0.001
0 2 0 12 0.0012
0 2 1 6 0.0006
0 2 2 15 0.0015
1 0 0 54 0.0054
1 0 1 52 0.0052
1 0 2 269 0.0269
1 1 0 272 0.0272
1 1 1 290 0.029
1 1 2 2223 0.2223
1 2 0 56 0.0056
1 2 1 66 0.0066
1 2 2 251 0.0251
2 0 0 208 0.0208
2 0 1 194 0.0194
2 0 2 197 0.0197
2 1 0 220 0.022
2 1 1 241 0.0241
2 1 2 217 0.0217
2 2 0 221 0.0221
2 2 1 236 0.0236
2 2 2 214 0.0214
3 0 0 43 0.0043
3 0 1 262 0.0262
3 0 2 50 0.005
3 1 0 54 0.0054
3 1 1 305 0.0305
3 1 2 50 0.005
3 2 0 266 0.0266
3 2 1 2268 0.2268
3 2 2 252 0.0252
4 0 0 92 0.0092
4 0 1 100 0.01
4 0 2 82 0.0082
4 1 0 83 0.0083
4 1 1 94 0.0094
4 1 2 107 0.0107
4 2 0 100 0.01
4 2 1 108 0.0108
4 2 2 92 0.0092
