Period NodeTypeO NodeTypeD # %
0 0 0 10 0.001
0 0 1 13 0.0013
0 0 2 11 0.0011
0 1 0 4 0.0004
0 1 1 17 0.0017
0 1 2 15 0.0015
0 2 0 10 0.001
0 2 1 8 0.0008
0 2 2 15 0.0015
1 0 0 72 0.0072
1 0 1 66 0.0066
1 0 2 273 0.0273
1 1 0 285 0.0285
1 1 1 239 0.0239
1 1 2 2167 0.2167
1 2 0 52 0.0052
1 2 1 57 0.0057
1 2 2 284 0.0284
2 0 0 195 0.0195
2 0 1 221 0.0221
2 0 2 210 0.021
2 1 0 235 0.0235
2 1 1 208 0.0208
2 1 2 230 0.023
2 2 0 233 0.0233
2 2 1 239 0.0239
2 2 2 233 0.0233
3 0 0 55 0.0055
3 0 1 261 0.0261
3 0 2 68 0.0068
3 1 0 53 0.0053
3 1 1 267 0.0267
3 1 2 53 0.0053
3 2 0 293 0.0293
3 2 1 2197 0.2197
3 2 2 296 0.0296
4 0 0 107 0.0107
4 0 1 94 0.0094
4 0 2 103 0.0103
4 1 0 92 0.0092
4 1 1 83 0.0083
4 1 2 95 0.0095
4 2 0 88 0.0088
4 2 1 95 0.0095
4 2 2 98 0.0098
