Period NodeTypeO NodeTypeD # %
0 0 0 216 0.00108
0 0 1 221 0.001105
0 0 2 232 0.00116
0 1 0 215 0.001075
0 1 1 191 0.000955
0 1 2 245 0.001225
0 2 0 219 0.001095
0 2 1 215 0.001075
0 2 2 229 0.001145
1 0 0 1149 0.005745
1 0 1 1105 0.005525
1 0 2 5459 0.027295
1 1 0 5187 0.025935
1 1 1 5269 0.026345
1 1 2 44068 0.22034
1 2 0 1117 0.005585
1 2 1 1122 0.00561
1 2 2 5320 0.0266
2 0 0 4517 0.022585
2 0 1 4614 0.02307
2 0 2 4439 0.022195
2 1 0 4612 0.02306
2 1 1 4474 0.02237
2 1 2 4388 0.02194
2 2 0 4601 0.023005
2 2 1 4470 0.02235
2 2 2 4482 0.02241
3 0 0 1146 0.00573
3 0 1 5196 0.02598
3 0 2 1091 0.005455
3 1 0 1106 0.00553
3 1 1 5288 0.02644
3 1 2 1132 0.00566
3 2 0 5322 0.02661
3 2 1 43910 0.21955
3 2 2 5252 0.02626
4 0 0 1959 0.009795
4 0 1 2018 0.01009
4 0 2 2020 0.0101
4 1 0 2029 0.010145
4 1 1 1988 0.00994
4 1 2 2016 0.01008
4 2 0 2067 0.010335
4 2 1 2002 0.01001
4 2 2 2082 0.01041
