Period NodeTypeO NodeTypeD # %
0 0 0 225 0.001125
0 0 1 192 0.00096
0 0 2 244 0.00122
0 1 0 227 0.001135
0 1 1 254 0.00127
0 1 2 211 0.001055
0 2 0 232 0.00116
0 2 1 213 0.001065
0 2 2 232 0.00116
1 0 0 1155 0.005775
1 0 1 1107 0.005535
1 0 2 5207 0.026035
1 1 0 5393 0.026965
1 1 1 5214 0.02607
1 1 2 44178 0.22089
1 2 0 1105 0.005525
1 2 1 1161 0.005805
1 2 2 5175 0.025875
2 0 0 4425 0.022125
2 0 1 4591 0.022955
2 0 2 4422 0.02211
2 1 0 4438 0.02219
2 1 1 4488 0.02244
2 1 2 4367 0.021835
2 2 0 4494 0.02247
2 2 1 4368 0.02184
2 2 2 4552 0.02276
3 0 0 1114 0.00557
3 0 1 5413 0.027065
3 0 2 1125 0.005625
3 1 0 1144 0.00572
3 1 1 5238 0.02619
3 1 2 1101 0.005505
3 2 0 5348 0.02674
3 2 1 44273 0.221365
3 2 2 5361 0.026805
4 0 0 1980 0.0099
4 0 1 2010 0.01005
4 0 2 1962 0.00981
4 1 0 1985 0.009925
4 1 1 1981 0.009905
4 1 2 2028 0.01014
4 2 0 2095 0.010475
4 2 1 1970 0.00985
4 2 2 2002 0.01001
