Period NodeTypeO NodeTypeD # %
0 0 0 212 0.00106
0 0 1 209 0.001045
0 0 2 222 0.00111
0 1 0 237 0.001185
0 1 1 234 0.00117
0 1 2 222 0.00111
0 2 0 229 0.001145
0 2 1 209 0.001045
0 2 2 220 0.0011
1 0 0 1090 0.00545
1 0 1 1149 0.005745
1 0 2 5286 0.02643
1 1 0 5298 0.02649
1 1 1 5198 0.02599
1 1 2 44429 0.222145
1 2 0 1133 0.005665
1 2 1 1212 0.00606
1 2 2 5190 0.02595
2 0 0 4540 0.0227
2 0 1 4506 0.02253
2 0 2 4381 0.021905
2 1 0 4404 0.02202
2 1 1 4400 0.022
2 1 2 4463 0.022315
2 2 0 4487 0.022435
2 2 1 4441 0.022205
2 2 2 4443 0.022215
3 0 0 1142 0.00571
3 0 1 5327 0.026635
3 0 2 1127 0.005635
3 1 0 1059 0.005295
3 1 1 5203 0.026015
3 1 2 1103 0.005515
3 2 0 5275 0.026375
3 2 1 44454 0.22227
3 2 2 5264 0.02632
4 0 0 2041 0.010205
4 0 1 1948 0.00974
4 0 2 1990 0.00995
4 1 0 1975 0.009875
4 1 1 2067 0.010335
4 1 2 1942 0.00971
4 2 0 2026 0.01013
4 2 1 2007 0.010035
4 2 2 2006 0.01003
