Period NodeTypeO NodeTypeD # %
0 0 0 261 0.001305
0 0 1 203 0.001015
0 0 2 224 0.00112
0 1 0 228 0.00114
0 1 1 224 0.00112
0 1 2 200 0.001
0 2 0 210 0.00105
0 2 1 223 0.001115
0 2 2 210 0.00105
1 0 0 1131 0.005655
1 0 1 1117 0.005585
1 0 2 5414 0.02707
1 1 0 5225 0.026125
1 1 1 5399 0.026995
1 1 2 44419 0.222095
1 2 0 1127 0.005635
1 2 1 1109 0.005545
1 2 2 5361 0.026805
2 0 0 4373 0.021865
2 0 1 4352 0.02176
2 0 2 4481 0.022405
2 1 0 4461 0.022305
2 1 1 4415 0.022075
2 1 2 4473 0.022365
2 2 0 4433 0.022165
2 2 1 4441 0.022205
2 2 2 4384 0.02192
3 0 0 1111 0.005555
3 0 1 5381 0.026905
3 0 2 1173 0.005865
3 1 0 1164 0.00582
3 1 1 5263 0.026315
3 1 2 1181 0.005905
3 2 0 5243 0.026215
3 2 1 44221 0.221105
3 2 2 5218 0.02609
4 0 0 2081 0.010405
4 0 1 1964 0.00982
4 0 2 2033 0.010165
4 1 0 2029 0.010145
4 1 1 1995 0.009975
4 1 2 1917 0.009585
4 2 0 2040 0.0102
4 2 1 1966 0.00983
4 2 2 1922 0.00961
