Period NodeTypeO NodeTypeD # %
0 0 0 61 0.00122
0 0 1 52 0.00104
0 0 2 66 0.00132
0 1 0 42 0.00084
0 1 1 60 0.0012
0 1 2 49 0.00098
0 2 0 55 0.0011
0 2 1 45 0.0009
0 2 2 59 0.00118
1 0 0 287 0.00574
1 0 1 296 0.00592
1 0 2 1337 0.02674
1 1 0 1296 0.02592
1 1 1 1356 0.02712
1 1 2 10983 0.21966
1 2 0 277 0.00554
1 2 1 280 0.0056
1 2 2 1276 0.02552
2 0 0 1110 0.0222
2 0 1 1079 0.02158
2 0 2 1159 0.02318
2 1 0 1200 0.024
2 1 1 1110 0.0222
2 1 2 1121 0.02242
2 2 0 1126 0.02252
2 2 1 1102 0.02204
2 2 2 1107 0.02214
3 0 0 290 0.0058
3 0 1 1285 0.0257
3 0 2 283 0.00566
3 1 0 280 0.0056
3 1 1 1238 0.02476
3 1 2 288 0.00576
3 2 0 1337 0.02674
3 2 1 11036 0.22072
3 2 2 1315 0.0263
4 0 0 496 0.00992
4 0 1 511 0.01022
4 0 2 521 0.01042
4 1 0 533 0.01066
4 1 1 520 0.0104
4 1 2 526 0.01052
4 2 0 498 0.00996
4 2 1 522 0.01044
4 2 2 530 0.0106
