Period NodeTypeO NodeTypeD # %
0 0 0 39 0.00078
0 0 1 54 0.00108
0 0 2 46 0.00092
0 1 0 41 0.00082
0 1 1 53 0.00106
0 1 2 51 0.00102
0 2 0 56 0.00112
0 2 1 49 0.00098
0 2 2 58 0.00116
1 0 0 302 0.00604
1 0 1 310 0.0062
1 0 2 1283 0.02566
1 1 0 1234 0.02468
1 1 1 1358 0.02716
1 1 2 11088 0.22176
1 2 0 269 0.00538
1 2 1 280 0.0056
1 2 2 1315 0.0263
2 0 0 1192 0.02384
2 0 1 1121 0.02242
2 0 2 1151 0.02302
2 1 0 1095 0.0219
2 1 1 1101 0.02202
2 1 2 1068 0.02136
2 2 0 1113 0.02226
2 2 1 1092 0.02184
2 2 2 1183 0.02366
3 0 0 283 0.00566
3 0 1 1291 0.02582
3 0 2 269 0.00538
3 1 0 301 0.00602
3 1 1 1360 0.0272
3 1 2 300 0.006
3 2 0 1309 0.02618
3 2 1 11065 0.2213
3 2 2 1329 0.02658
4 0 0 496 0.00992
4 0 1 500 0.01
4 0 2 507 0.01014
4 1 0 512 0.01024
4 1 1 514 0.01028
4 1 2 464 0.00928
4 2 0 492 0.00984
4 2 1 496 0.00992
4 2 2 510 0.0102
