Period NodeTypeO NodeTypeD # %
0 0 0 63 0.00126
0 0 1 49 0.00098
0 0 2 35 0.0007
0 1 0 56 0.00112
0 1 1 57 0.00114
0 1 2 59 0.00118
0 2 0 50 0.001
0 2 1 53 0.00106
0 2 2 65 0.0013
1 0 0 282 0.00564
1 0 1 278 0.00556
1 0 2 1345 0.0269
1 1 0 1364 0.02728
1 1 1 1284 0.02568
1 1 2 10982 0.21964
1 2 0 255 0.0051
1 2 1 261 0.00522
1 2 2 1339 0.02678
2 0 0 1118 0.02236
2 0 1 1127 0.02254
2 0 2 1183 0.02366
2 1 0 1093 0.02186
2 1 1 1149 0.02298
2 1 2 1123 0.02246
2 2 0 1200 0.024
2 2 1 1101 0.02202
2 2 2 1104 0.02208
3 0 0 297 0.00594
3 0 1 1265 0.0253
3 0 2 288 0.00576
3 1 0 322 0.00644
3 1 1 1321 0.02642
3 1 2 274 0.00548
3 2 0 1285 0.0257
3 2 1 11012 0.22024
3 2 2 1265 0.0253
4 0 0 498 0.00996
4 0 1 520 0.0104
4 0 2 516 0.01032
4 1 0 492 0.00984
4 1 1 523 0.01046
4 1 2 517 0.01034
4 2 0 500 0.01
4 2 1 500 0.01
4 2 2 530 0.0106
