t_departure t_arrival
4000729 4051993
7354959 7401071
5313506 5434601
3187906 3253409
5337594 5386311
3401788 3447968
6269756 6317961
4082186 4131940
5738125 5785429
2269020 2317911
2284080 2323524
6008357 6048288
3322449 3393892
6264639 6305251
4413243 4469249
5361982 5405630
3368032 3469007
3995201 4037223
4064048 4104636
7854002 7936438
6533388 6570562
3055934 3092819
3285709 3322117
5166812 5253818
2630675 2672675
6837721 6880447
3325513 3360417
5569419 5661674
3127398 3219208
4990453 5041707
2910590 2981086
3107074 3133665
3692715 3789175
5460895 5546301
8122131 8225464
6466293 6511636
2764585 2815505
3329225 3370808
2958616 3040087
6212971 6271704
5727469 5759144
5256792 5302454
2000043 2064620
4453645 4570685
6282533 6333438
6742956 6773940
2345949 2392110
6295032 6332152
4756393 4796673
4065480 4096312
2424657 2496854
5685556 5744472
5448513 5538842
5248898 5289297
2582083 2678593
4736632 4796116
3464417 3515955
2537531 2606224
6530351 6573050
2640405 2679820
2703249 2793818
5567934 5636869
5374105 5427993
6846542 6877563
2822772 2850397
5827532 5890408
2347904 2409877
7828207 7882815
2571168 2605424
5640281 5676304
6106251 6208403
4356569 4443986
5579948 5645710
2813390 2882843
2386362 2451303
5843191 5909260
3774080 3861088
5406503 5440603
2701072 2736836
6450764 6555205
6394831 6416659
6287106 6384173
2433083 2500501
3352831 3388830
5868820 5907764
2952454 2994867
6363862 6407907
5463411 5568959
3393151 3510280
3262968 3299221
4867573 4899656
3072274 3102862
5484034 5514796
2356690 2434675
6726525 6805222
5791978 5850143
2541347 2625855
4009595 4052537
4364053 4453274
3380991 3453281
6348358 6380567
2965907 2997626
5830231 5904371
3106748 3180951
3357270 3398722
5794177 5827107
2440674 2503208
6139227 6202730
6815468 6862448
3302364 3356201
2838074 2869649
6754547 6778265
2634802 2700691
4935435 5016670
3254466 3302395
5674437 5707133
6204685 6236680
2258149 2284748
7732515 7827154
3673826 3770806
5652599 5682663
2472275 2589286
5491081 5605842
5496051 5574342
8130637 8194468
5480366 5511579
2175938 2211701
3327021 3361755
3676602 3761017
7111325 7216931
3480170 3516727
5402647 5491966
2838871 2872896
6879113 6910563
4060690 4116044
3317317 3423206
2896726 2929126
3566487 3646439
3792126 3837966
1705741 1780755
2590168 2620782
5918176 5951044
2800143 2856402
5581217 5618197
4662380 4716301
6400009 6431614
3204588 3228794
2580147 2639763
6495767 6555597
6948661 6992624
6288224 6390649
2887799 2991899
6406352 6452500
2443066 2507171
6444531 6525665
3736926 3785257
4997616 5092201
8510510 8549417
6264404 6342686
7564861 7606279
3134985 3188605
6404021 6508726
2744543 2863353
5680828 5778773
2516453 2550128
2647445 2701294
6922678 6965176
6613897 6643961
6104458 6146093
2433861 2481422
6298017 6343470
6493061 6545143
2931219 2978077
6327003 6371985
4407709 4449444
7026849 7102778
3032975 3064809
5563139 5597391
3916785 3965643
6518562 6579452
2207025 2250065
6513240 6556726
6151408 6222309
6244419 6315173
7743061 7776703
2484524 2537092
6533844 6598401
3178877 3239890
4016053 4088642
3422138 3460744
6505449 6546667
7193850 7243251
2231002 2269906
6042244 6075873
8187220 8253230
2652789 2720292
3120274 3154671
6840954 6873059
3744371 3775189
4381317 4423120
4387656 4431306
7360356 7402454
2871447 2941477
5796199 5864826
4814597 4906422
3342704 3371857
5839711 5871243
2828578 2883591
7595906 7645294
6308939 6358661
4663186 4728205
4128791 4212697
6698144 6736390
5641043 5697381
2177827 2233217
2208645 2265547
6718220 6776670
2671300 2712365
2373761 2407663
6638102 6670022
2837762 2920316
5930636 5967439
5799430 5888116
3047737 3122391
4432956 4497443
4478764 4547306
4258619 4307978
4666575 4707818
2444675 2569373
3193847 3255825
3426904 3465122
4367223 4447017
2897274 2957256
5592971 5700682
5654033 5719638
6816050 6849440
2964804 3017710
6627730 6682803
6039795 6115208
2268124 2338269
3871265 3911065
2276450 2315897
6896005 6948859
2847941 2901040
2050257 2081043
4222939 4274029
5085076 5164577
3496222 3547521
5728660 5799000
2782194 2851366
5514138 5575395
3315709 3376119
6040401 6100459
3388253 3427321
6183534 6226060
3829843 3868978
3037720 3105376
6547018 6592709
5997116 6033368
5436046 5507024
2495060 2576379
3432742 3503422
3049403 3108994
6442507 6494252
2634199 2671106
6271597 6312473
5716533 5781946
6177581 6223693
2367759 2416976
3891688 3945678
780164 850566
3265302 3311952
6729559 6772062
8288266 8354314
5249808 5354598
3084578 3120105
6799820 6834305
2234057 2313153
6155476 6217802
2992271 3048848
6564066 6644945
6690988 6737685
5777928 5824485
3294553 3336339
6679773 6723519
3194575 3236955
3196418 3263969
3390589 3462704
8272048 8352314
8225363 8268668
3459275 3491014
7611375 7671077
6815573 6880606
2961618 3027785
7676439 7762240
2305547 2341229
5605551 5639462
6130379 6223104
2430244 2526088
2188525 2245429
6269257 6328684
3675898 3736530
3793733 3885264
3304805 3346657
5523509 5566107
3284917 3306868
5676409 5734038
2988313 3045190
5806883 5861269
6613189 6673971
2815619 2871539
5950949 6016148
6260289 6336107
8256990 8317921
2916127 2982108
5428338 5514541
3798565 3871646
5552893 5588370
3259924 3294253
7530519 7595362
6343148 6421688
2436200 2516620
3222392 3301608
4442103 4531095
3924850 4010054
4859312 4924553
2478830 2537190
6815637 6860982
6395217 6447808
2222026 2297295
2518149 2601538
5832408 5919136
4929869 5005547
6096080 6165685
3171537 3211311
6748212 6784220
5662708 5698456
6644335 6703675
7742830 7867538
3034248 3093741
5651304 5707569
4155914 4233615
4233159 4286526
4982861 5040769
4120104 4182868
2863114 2898101
5357931 5407828
2637100 2689777
5407601 5461909
5392354 5446432
7884849 7933543
4012427 4069832
6408421 6455586
6685176 6715308
5684349 5747684
3210445 3270266
4203550 4233097
5541108 5609964
3311610 3377149
4484259 4554990
2841421 2891158
3208953 3291996
5744338 5781496
6900648 6931379
3182010 3225784
7779554 7817041
3591961 3655566
6246123 6306107
2550584 2616071
6338545 6381863
8279019 8314055
3350050 3451642
5323083 5358842
5743342 5797877
2051640 2208620
4255877 4314434
3558440 3615622
2359427 2408250
2612914 2680893
5785165 5852640
6554427 6591025
3333982 3363643
7404793 7476687
3013108 3091230
5871802 5951975
3254987 3315562
6351743 6388091
3229187 3261597
5464530 5492579
5577480 5649380
2965025 3034033
2268896 2385803
8375682 8450518
3267058 3341258
5236072 5267117
5812932 5923517
2865165 2976224
6465809 6507616
2925436 2969438
4872735 4905147
2932165 2977679
3494411 3537695
7843383 7873047
3155508 3191380
6886621 6936132
2221760 2273989
3035931 3145510
5797134 5864865
8367128 8434277
2709633 2782030
6851803 6897951
4940246 5001301
6918833 6975949
6879125 6933539
3166196 3221036
2866687 2985585
7668188 7728003
3925541 4050375
2801068 2887864
4431850 4471624
4121590 4170420
6584207 6639618
2282286 2336224
3317732 3355866
6852656 6901004
6317337 6382693
3321552 3385117
5926503 6009573
6134237 6196848
2281452 2336451
7359587 7397071
2584165 2634170
7378383 7438021
3415236 3515376
7366171 7433944
3412671 3507192
7076968 7182365
6023111 6068175
5640875 5698165
540919 624147
4551474 4628884
2614611 2650872
6338992 6384132
4098953 4156056
5022108 5092131
6692687 6765377
8070682 8112750
2666023 2744381
2445559 2492105
5833558 5866386
8523515 8600579
4165824 4223031
5045838 5147605
5621743 5719378
5183437 5253331
3445621 3476420
2948438 2987084
7706912 7743079
4242599 4292642
2851817 2892647
5612551 5653121
4090628 4201121
6436146 6477595
2406199 2452392
5205368 5265298
2936792 3004486
6833586 6890995
2529440 2588490
2781342 2838785
3259771 3307436
6728196 6777842
6766504 6802475
5486366 5546403
3332851 3392755
2499861 2544633
6734525 6780333
6883743 6930622
6058521 6111314
2985158 3047124
4914267 4965075
2798208 2857002
4852375 4939831
2202455 2237113
6228116 6263879
2877993 2948001
3088668 3140803
3730887 3779819
3718787 3759007
6667474 6755520
3022620 3116899
2190255 2241431
5613660 5670714
2609480 2652770
6029942 6076763
2629593 2675042
3781216 3850437
2487286 2533586
3017982 3092305
2307376 2364465
6803641 6860978
6341186 6410453
6524637 6584468
2887435 2946524
5759742 5802437
2871302 2916734
5586026 5652448
3383624 3450403
3313035 3348266
8379610 8463460
5776795 5836025
5247668 5310758
6087388 6130001
7384598 7446651
6104703 6147238
3179204 3226541
3248725 3321019
6770927 6843672
5797719 5861808
2723184 2783825
6160630 6225946
5471224 5569372
5633979 5685757
2537383 2584065
5563597 5610896
3009572 3055697
6129820 6174446
3377645 3418757
4880289 4922201
5723153 5796365
3825013 3865477
4692798 4723947
4113784 4147478
6494851 6529791
2592844 2631116
5327010 5386862
2339138 2396701
5484873 5521763
2951901 2988790
7830019 7891668
2528667 2596356
5594232 5662199
2666074 2703940
3481429 3554125
2572032 2663985
5177182 5246562
6095571 6137984
3219850 3263897
3368564 3426667
6725615 6785962
5042095 5081928
3245973 3295621
3913879 3951704
7564052 7677255
8428758 8464147
2221106 2273230
6751657 6802872
3160938 3206981
6364507 6407465
4904652 4960536
6092013 6137485
2364905 2410789
3207375 3277689
6788401 6852307
2640890 2699898
2493024 2529135
5449133 5485685
2920682 3015791
2902766 2944103
6737080 6790564
3369235 3422255
3233463 3281522
7981461 8065555
3053944 3098098
5766538 5818160
8128970 8180779
6004235 6062193
2268351 2327108
3458273 3543833
2177612 2224444
6841854 6889720
2663300 2752679
6604546 6659431
2506608 2561497
3777944 3819682
5283312 5388979
6274033 6318019
4539374 4593453
3415539 3452033
6361795 6399398
3020145 3072062
6847189 6899944
2467626 2530999
5831778 5916788
6262884 6293177
2539460 2569144
7646819 7685374
2911021 2969964
6427412 6487630
2696305 2768394
5416749 5447739
3375185 3406316
3300121 3339803
3877569 3934050
6705061 6749129
2706979 2753145
5480288 5518606
3173203 3255988
6733046 6766062
7688457 7769241
6723663 6766155
5185542 5247106
3304769 3344555
2569874 2600053
2179830 2210349
6965162 7022001
3682478 3776819
2228434 2303632
5659469 5732057
2834533 2886210
5691470 5744077
6068403 6136422
2899308 2960915
8456266 8501450
2566282 2601022
6288795 6351194
3661611 3697732
6238526 6292427
2659955 2712225
6253049 6296345
6978036 7033286
3163613 3204245
5846147 5925747
2447915 2545539
5998938 6092939
4025212 4082617
3406341 3431773
6843617 6878071
2661739 2728638
6549504 6624387
7260685 7324322
4608105 4676205
6573289 6628960
2690202 2746046
4326460 4396395
2262321 2284060
6007938 6038699
2337550 2383760
6008725 6073563
6796622 6864417
5794316 5828004
6236418 6286355
2798050 2833102
6065962 6100630
5897968 5932825
6559531 6629212
7006039 7077827
5907775 5942830
3005497 3055392
6824391 6870294
2665251 2704236
5420902 5454210
4362451 4454754
6070070 6158215
6798054 6858805
3421030 3479234
2492525 2524772
4257978 4319223
6890316 6925385
6886210 6962048
6591982 6635237
3175763 3228843
6067940 6119186
5606984 5654661
2761924 2827064
4112399 4166454
3440606 3485723
2857531 2905491
6529702 6584720
7924830 7998939
3993930 4034981
3184921 3220353
5661388 5741574
4257126 4353054
4726671 4781966
5805633 5870627
3136205 3199660
5471512 5586804
2350218 2405426
5814530 5869361
3315110 3387073
3352790 3404353
6417351 6468001
2522087 2571996
6849826 6890935
5332184 5396154
4165960 4231442
3578342 3620565
3165017 3236093
6648124 6714957
6830114 6922997
5905441 5946281
2203378 2251231
6335416 6380952
3091047 3141306
2680008 2742776
5416486 5478558
7952374 8019309
2776127 2810369
6748155 6804354
2244192 2304072
