Period NodeTypeO NodeTypeD # %
0 0 0 59 0.00118
0 0 1 36 0.00072
0 0 2 57 0.00114
0 1 0 58 0.00116
0 1 1 51 0.00102
0 1 2 53 0.00106
0 2 0 41 0.00082
0 2 1 48 0.00096
0 2 2 55 0.0011
1 0 0 290 0.0058
1 0 1 257 0.00514
1 0 2 1324 0.02648
1 1 0 1311 0.02622
1 1 1 1338 0.02676
1 1 2 11083 0.22166
1 2 0 275 0.0055
1 2 1 269 0.00538
1 2 2 1294 0.02588
2 0 0 1067 0.02134
2 0 1 1151 0.02302
2 0 2 1079 0.02158
2 1 0 1153 0.02306
2 1 1 1081 0.02162
2 1 2 1110 0.0222
2 2 0 1107 0.02214
2 2 1 1163 0.02326
2 2 2 1148 0.02296
3 0 0 298 0.00596
3 0 1 1323 0.02646
3 0 2 287 0.00574
3 1 0 267 0.00534
3 1 1 1352 0.02704
3 1 2 292 0.00584
3 2 0 1269 0.02538
3 2 1 11042 0.22084
3 2 2 1325 0.0265
4 0 0 497 0.00994
4 0 1 541 0.01082
4 0 2 507 0.01014
4 1 0 482 0.00964
4 1 1 445 0.0089
4 1 2 547 0.01094
4 2 0 510 0.0102
4 2 1 561 0.01122
4 2 2 497 0.00994
