Period NodeTypeO NodeTypeD # %
0 0 0 46 0.00092
0 0 1 61 0.00122
0 0 2 47 0.00094
0 1 0 57 0.00114
0 1 1 57 0.00114
0 1 2 55 0.0011
0 2 0 54 0.00108
0 2 1 56 0.00112
0 2 2 61 0.00122
1 0 0 271 0.00542
1 0 1 284 0.00568
1 0 2 1350 0.027
1 1 0 1351 0.02702
1 1 1 1389 0.02778
1 1 2 11043 0.22086
1 2 0 293 0.00586
1 2 1 273 0.00546
1 2 2 1375 0.0275
2 0 0 1131 0.02262
2 0 1 1126 0.02252
2 0 2 1143 0.02286
2 1 0 1101 0.02202
2 1 1 1105 0.0221
2 1 2 1125 0.0225
2 2 0 1114 0.02228
2 2 1 1135 0.0227
2 2 2 1137 0.02274
3 0 0 293 0.00586
3 0 1 1332 0.02664
3 0 2 281 0.00562
3 1 0 277 0.00554
3 1 1 1297 0.02594
3 1 2 281 0.00562
3 2 0 1332 0.02664
3 2 1 10927 0.21854
3 2 2 1341 0.02682
4 0 0 516 0.01032
4 0 1 509 0.01018
4 0 2 464 0.00928
4 1 0 497 0.00994
4 1 1 514 0.01028
4 1 2 448 0.00896
4 2 0 483 0.00966
4 2 1 500 0.01
4 2 2 468 0.00936
